scheme_id,scheme_name,benefits,min_age,max_age,min_land_holding,max_land_holding,income_limit,farmer_type,state,crop_type,category,gender,other_conditions,steps_to_apply,official_url
SCH033,Kuruvai Special Package,Input subsidy for Kuruvai paddy cultivation,18,100,0,10,9999999,any,Tamil Nadu,rice,ALL,ALL,Only for Kuruvai season farmers,"Register with agriculture dept;Submit land details;Crop verification;Receive subsidy",https://www.tnagriculture.tn.gov.in
SCH034,TN Sugarcane Incentive Scheme,Incentive per tonne of sugarcane supplied,18,100,0,20,9999999,any,Tamil Nadu,sugarcane,ALL,ALL,Supply to cooperative/private mills,"Register with sugar mill;Supply cane;Quality verification;Receive incentive",https://www.tnsugar.tn.gov.in
SCH035,TN Paddy Procurement Bonus,Bonus amount over MSP for paddy farmers,18,100,0,10,9999999,any,Tamil Nadu,rice,ALL,ALL,Sale to DPC centers only,"Register at DPC;Bring harvested paddy;Quality check;Payment + bonus",https://www.tncsc.tn.gov.in
SCH036,TN Micro Irrigation Scheme,Subsidy for drip and sprinkler irrigation,18,100,0,15,9999999,small,Tamil Nadu,ALL,ALL,ALL,Water source required,"Apply at agriculture office;Submit land records;Field inspection;Install system;Receive subsidy",https://www.tnagriculture.tn.gov.in
SCH037,TN Women Farmer Support Scheme,Training and financial support for women farmers,18,65,0,10,9999999,any,Tamil Nadu,ALL,ALL,F,Applicant must be woman farmer,"Apply via agri dept;Submit ID proof;Attend training;Receive assistance",https://www.tn.gov.in
SCH038,TN Millet Promotion Scheme,Input subsidy and MSP support for millets,18,100,0,15,9999999,any,Tamil Nadu,millet,ALL,ALL,Millet cultivation mandatory,"Register with dept;Submit land details;Crop verification;Receive subsidy",https://www.tnagriculture.tn.gov.in
SCH039,TN Scheduled Caste Farmer Development Scheme,Special subsidy for SC farmers,18,100,0,10,9999999,any,Tamil Nadu,ALL,SC,ALL,SC community certificate required,"Apply at agri office;Submit caste certificate;Land verification;Receive subsidy",https://www.tn.gov.in
SCH040,TN Tribal Farmer Livelihood Scheme,Input and livelihood support for ST farmers,18,100,0,10,9999999,any,Tamil Nadu,ALL,ST,ALL,Applicable in tribal areas,"Register through tribal welfare dept;Submit documents;Verification;Benefit transfer",https://www.tn.gov.in
SCH041,TN Fisheries Development Scheme,Subsidy for inland and marine fisheries,18,65,0,9999,9999999,any,Tamil Nadu,fisheries,ALL,ALL,Fishing license required,"Apply via fisheries dept;Submit boat/pond details;Inspection;Receive subsidy",https://www.tn.gov.in
SCH042,TN Coconut Development Scheme,Subsidy for coconut cultivation and replanting,18,100,0,15,9999999,any,Tamil Nadu,coconut,ALL,ALL,Coconut plantation required,"Register with agri dept;Submit land details;Field inspection;Receive subsidy",https://www.tnagriculture.tn.gov.in
SCH043,TN Banana Production Support Scheme,Support for banana growers,18,100,0,15,9999999,any,Tamil Nadu,banana,ALL,ALL,Banana cultivation required,"Apply at agriculture office;Submit crop details;Inspection;Receive assistance",https://www.tnagriculture.tn.gov.in
SCH044,TN Farm Mechanization Scheme,State subsidy for farm machinery,18,100,0,25,9999999,small,Tamil Nadu,ALL,ALL,ALL,Machinery usage proof,"Apply via agri dept;Select machinery;Submit documents;Verification;Subsidy credit",https://www.tnagriculture.tn.gov.in
SCH045,TN Rainfed Area Development Programme,Support for dryland farmers,18,100,0,15,9999999,small,Tamil Nadu,ALL,ALL,ALL,Rainfed land only,"Register at agri office;Submit land classification;Field inspection;Receive support",https://www.tnagriculture.tn.gov.in
